id,"Suit Obsession/Color","Graphics","Scrawls","Phase","Obsession","Specialty","Vibes","Location","Headgear Accessory","Accessory","Totem","Creature/Plant","Suit","Sanity","Headgear","Looks Rare","Ambition","Bane","Mood","Desire","Graphic","Suit Style/Color","Suit Accessory","Backpack","Style"
0001,"Solid","Subsurface Miners Guild","None","Phase 1","None","None","None","Scablands","None","Candlestick","None","None","Kreegal Cloak","None","The Scaper","Pistols","None","None","None","None","None","None","None","Scrapper","None"
0010,"Solid","Gael","None","Phase 1","None","None","None","Scablands","None","Faulk's Icepick","None","None","Kreegal Cloak","None","Yawper","Percussive","None","None","None","None","None","None","Industrial Regulator","Scrapper","None"
0100,"Solid","Round Style","None","Phase 1","None","None","None","Scablands","None","Roulette","None","None","Gutter Shirt","None","Backstab Squeezebox","None","None","None","None","None","None","None","Encased Regulator","Squirrel Pack","None"
1000,"Cap Flag","Topography Society","None","Phase 1","None","None","None","Scablands","None","Candlestick","None","None","Smocker","None","Good King Maude","Pistols","None","None","None","None","None","None","Amplifier","Bobpack","None"
1001,"Cap Flag","Orbital Miners Guild","Yes","Phase 1","None","None","None","Scablands","None","The (Fat) Koltso","None","None","Smocker","None","Good King Maude","None","None","None","None","None","None","None","None","None","None"
1002,"Cap Flag","Deepsatch","Yes","Phase 1","None","None","None","Scablands","None","The (Fat) Koltso","None","None","Smocker","None","Korkhead","None","None","None","None","None","None","None","None","None","None"
1003,"Solid","Cog Crew","None","Phase 1","None","None","None","Scablands","None","Reef Sweeper","None","None","Vayon Worksuit","None","Backstab Squeezebox","Melee","None","None","None","None","None","None","None","Squirrel Pack","None"
1004,"Cap Flag","Void Drifter","None","Phase 1","None","None","None","Scablands","None","Soapy","None","None","Smocker","None","Shutters","Percussive","None","None","None","None","None","None","Heavy Duty Regulator","Scrapper","None"
1005,"Solid","Orbital Miners Guild","None","Phase 1","None","None","None","Scablands","None","The Shriek","None","None","Vayon Worksuit","None","Korkhead","None","None","None","None","None","None","None","Encased Regulator","Bobpack","None"
1006,"Solid","Mol Bon Tunnel","None","Phase 1","None","None","None","Scablands","None","Bolt Harp","None","None","Pitchfork Prongshell","None","Rustler's Braincage","None","None","None","None","None","None","None","None","Bobpack","None"
1007,"Solid","Mark Stay","None","Phase 1","None","None","None","Scablands","None","Steady Hammer","None","None","Gutter Shirt","None","Sock x Charybdis","Gastrotech","None","None","None","None","None","None","Heavy Duty Regulator","Squirrel Pack","None"
1008,"Cap Flag","Cove Stalkers","None","Phase 1","None","None","None","Scablands","None","Thruster","None","None","Smocker","None","The Channelrat","None","None","None","None","None","None","None","Amplifier","Squirrel Pack","None"
1009,"Cap Flag","Gael","None","Phase 1","None","None","None","Scablands","None","Trunker","None","None","Smocker","None","Gloamwight","Percussive","None","None","None","None","None","None","None","Squirrel Pack","None"
0101,"Grasslands","The Pyramid Order","None","Phase 1","None","None","None","Scablands","None","Faulk's Icepick","None","None","Smocker","None","None","None","None","None","None","None","None","None","Heavy Duty Regulator","Squirrel Pack","None"
1010,"Solid","Deepsatch","None","Phase 1","None","None","None","Scablands","None","The Slipper","None","None","Prongshell","None","Rustler's Braincage","Melee","None","None","None","None","None","None","None","Squirrel Pack","None"
1011,"Cap Flag","Mol Bon Tunnel","None","Phase 1","None","None","None","Scablands","None","Candlestick","None","None","Smocker","None","Darksight","Tribal","None","None","None","None","None","None","None","None","None"
