id,"Accessory","Backpack","Class","Death","Graphic","Headgear","Headgear Accessory","Location","Phase","Scrawls","Suit","Suit Accessories","Suit Accessory","Suit Color","Suit Pattern","Totem"
1510,"Cove Carver","Little Huffy","Drifter","None","Dark Ether House","Backstab Squeezebox","None","The Void","Phase 2","Yes","Smocker","None","None","Green","Cap Flag","White Air Supply Amulet"
1511,"The (Fat) Koltso","None","Drifter","None","Combustible","The Scaper","None","The Void","Phase 2","None","Vayon Worksuit","Utility Vest","None","Black","Solid","Dark Grey Milo Charm"
1512,"Hull Breacher","None","Drifter","None","Union of Merchants","Hangtooth","None","The Void","Phase 2","None","Prongshell","None","None","Green","Solid","None"
1513,"Wedge","Fancypack","Drifter","None","Subsurface Miners Guild","Puffy Face","None","The Void","Phase 2","None","Vayon Worksuit","Encased Regulator","None","Gray","Solid","None"
1514,"Cove Carver","The Sink","Drifter","None","Dugall Freight","Kipper","None","The Void","Phase 2","None","Deverin Jacket","Encased Regulator","None","Red","Solid","None"
1515,"Steady Hammer","Little Huffy","Drifter","None","Grid Gang","Backstab Squeezebox","None","The Void","Phase 2","Yes","Smocker","None","None","Yellow","Cowl","None"
1516,"The Nozzle","Little Huffy","Drifter","None","House of Ourbous","Trailmaker","None","The Void","Phase 2","Yes","Smocker","Heavy Duty Regulator","None","Green","Cap Flag","White Air Supply Amulet"
1517,"Ball Claw","Fancypack","Drifter","None","Grid Gang","The Scaper","None","The Void","Phase 2","None","Smocker","Heavy Duty Regulator","None","Red-Yellow","Cap Flag","None"
1518,"Hull Breacher","The Sink","Drifter","None","Mercenary","Boxhead","None","The Void","Phase 2","None","Deverin Jacket","Multiband Regulator","None","Yellow","Solid","Light Grey Suit Integrity Amulet"
1519,"The Spunker","Fancypack","Drifter","None","Survivalist Guild","Backstab Squeezebox","None","The Void","Phase 2","None","Smocker","Simple Regulator","None","Green","Sacred Passage","None"
1520,"The Nozzle","None","Drifter","None","Deepsatch","The Stalker","None","The Void","Phase 2","None","Smocker","None","None","Black","Chords","Dark Grey Decontamination Amulet"
1521,"The (Fat) Koltso","Caddypack","Drifter","None","The Path","Kipper","None","The Void","Phase 2","Yes","Smocker","None","None","Red","Cap Flag","Medium Grey Drippy Charm"
1522,"Everdull Snippies","Caddypack","Drifter","None","Freebooters Flag","The Stalker","None","The Void","Phase 2","Yes","Deverin Jacket","Heavy Duty Regulator","None","Yellow","Solid","None"
1523,"Chainflicker","Little Huffy","Drifter","None","Longhaulers","Kipper","Driftcore Shades","The Void","Phase 2","Yes","Kreegal Cloak","Multiband Regulator","None","Red","Solid","None"
1524,"Steady Hammer","Little Huffy","Drifter","None","Venonauts","Good King Maude","None","The Void","Phase 2","Yes","Deverin Jacket","Simple Regulator","None","Gray","Solid","Yellow Air Supply Amulet"
1525,"The Shriek","Bobpack","Drifter","None","Dugall Freight","Boxhead","None","The Void","Phase 2","None","Smocker","Heavy Duty Regulator","None","Red-Yellow","Cap Flag","Light Grey Milo Charm"
1526,"Hull Breacher","Little Huffy","Drifter","None","Engineers Guild","Headforge","None","The Void","Phase 2","Yes","Smocker","None","None","Yellow","Cowl","Yellow Air Supply Amulet"
1527,"The Shriek","Little Huffy","Drifter","None","Margul","Headforge","None","The Void","Phase 2","Yes","Smocker","Heavy Duty Regulator","None","Yellow","Cowl","Light Grey Milo Charm"
1528,"Cove Carver","Fancypack","Drifter","None","The Bench","Good King Maude","None","The Void","Phase 2","None","Smocker","Simple Regulator","None","Yellow","Cap Flag","Light Grey Suit Integrity Amulet"
1529,"The Nozzle","None","Drifter","None","Cross of the Round Power","Good King Maude","None","The Void","Phase 2","None","Prongshell","None","None","Yellow","Solid","Light Grey Suit Integrity Amulet"
1530,"Faulk's Icepick","The Sink","Drifter","None","Cross of the Round Power","The Spyhopper","None","The Void","Phase 2","None","Vayon Worksuit","Heavy Duty Regulator","None","Black","Solid","None"
1531,"Steady Hammer","Fancypack","Drifter","None","Saddler Racing League","Hangtooth","None","The Void","Phase 2","None","Kreegal Cloak","Encased Regulator","None","Yellow","Solid","White Air Supply Amulet"
1532,"Hull Breacher","Bobpack","Drifter","None","Orbital Miners Guild","Hangtooth","None","The Void","Phase 2","None","Smocker","Encased Regulator","None","Black","Solid","Dark Grey Decontamination Amulet"
1533,"The Shriek","None","Drifter","None","The Bench","The Spyhopper","None","The Void","Phase 2","None","Vayon Worksuit","Utility Vest","None","Yellow","Foss","None"
1534,"The Nozzle","Bobpack","Drifter","None","Saddler Racing League","Good King Maude","None","The Void","Phase 2","None","Deverin Jacket","Heavy Duty Regulator","None","Gray","Arvis Edition","Light Grey Suit Integrity Amulet"
1535,"Everdull Snippies","Caddypack","Drifter","None","The Bench","The Spyhopper","None","The Void","Phase 2","Yes","Smocker","None","None","Green","Cap Flag","White Suit Integrity Amulet"
1536,"Trunker","None","Drifter","None","Longhaulers","Rustler's Braincage","None","The Void","Phase 2","None","Prongshell","None","None","White","Solid","Medium Grey Sanity Amulet"
1537,"The (Fat) Koltso","Caddypack","Drifter","None","Topography Society","Kipper","Driftcore Shades","The Void","Phase 2","Yes","Kreegal Cloak","Heavy Duty Regulator","None","Red","Solid","Light Grey Decontamination Amulet"
1538,"The (Fat) Koltso","Little Huffy","Drifter","None","House of Ourbous","Hangtooth","None","The Void","Phase 2","Yes","Smocker","Encased Regulator","None","Red","Sacred Passage","Dark Grey Milo Charm"
1539,"Wedge","Fancypack","Drifter","None","High Tox","The Spyhopper","None","The Void","Phase 2","None","Kreegal Cloak","Heavy Duty Regulator","None","Black","Solid","None"
1540,"Hole Puncher","Caddypack","Drifter","None","Engineers Guild","Rustler's Braincage","None","The Void","Phase 2","None","Vayon Worksuit","Multiband Regulator","None","Gray","Solid","White Drippy Charm"
1541,"Hull Breacher","None","Drifter","None","The Path","Boxhead","None","The Void","Phase 2","None","Prongshell","None","None","Red","Solid","None"
1542,"The Nozzle","Fancypack","Drifter","None","Engineers Guild","Good King Maude","None","The Void","Phase 2","None","Vayon Worksuit","Multiband Regulator","None","Gray","Solid","White Air Supply Amulet"
1543,"Hull Breacher","The Sink","Drifter","None","The Path","Rustler's Braincage","None","The Void","Phase 2","None","Smocker","Simple Regulator","None","Red","Cowl","Light Grey Milo Charm"
1544,"Cove Carver","None","Drifter","None","Beshtala Expatriation Roster","Hardhat","None","The Void","Phase 2","None","Prongshell","None","None","White","Solid","None"
1545,"The (Fat) Koltso","Fancypack","Drifter","None","Orbital Miners Guild","Hangtooth","None","The Void","Phase 2","None","Smocker","Heavy Duty Regulator","None","Red","Cap Flag","White Air Supply Amulet"
1546,"The (Fat) Koltso","None","Drifter","None","Survivalist Guild","Good King Maude","None","The Void","Phase 2","None","Prongshell","None","None","Green","Solid","Medium Grey Drippy Charm"
1547,"Faulk's Icepick","The Sink","Drifter","None","The Forsaken","Puffy Face","None","The Void","Phase 2","None","Kreegal Cloak","Heavy Duty Regulator","None","Gray","Solid","Red Sanity Amulet"
1548,"Cove Carver","Caddypack","Drifter","None","The Pyramid Order","The Pillowcase","None","The Void","Phase 2","Yes","Deverin Jacket","Heavy Duty Regulator","None","White","Arvis Edition","None"
1549,"Trunker","None","Drifter","None","League of Channel","Good King Maude","None","The Void","Phase 2","None","Vayon Worksuit","None","None","White","Foss","None"
1550,"Death Beam","Fancypack","Drifter","None","Cross of the Round Power","Kipper","None","The Void","Phase 2","None","Smocker","None","None","White","Cap Flag","Light Grey Suit Integrity Amulet"
1551,"The (Fat) Koltso","Little Huffy","Drifter","None","Saddler Racing League","Good King Maude","None","The Void","Phase 2","Yes","Smocker","Simple Regulator","None","Blue","Cowl","Yellow Air Supply Amulet"
1552,"Hull Breacher","None","Drifter","None","Union of Merchants","Good King Maude","None","The Void","Phase 2","None","Vayon Worksuit","Utility Vest","None","Yellow","Foss","None"
1553,"Ball Claw","Caddypack","Drifter","None","Slash Patcher","BC Shiner","Hypervisor","The Void","Phase 2","Yes","Deverin Jacket","Simple Regulator","None","White","Solid","Light Grey Decontamination Amulet"
1554,"Hole Puncher","None","Drifter","None","The Path","Rustler's Braincage","None","The Void","Phase 2","None","Prongshell","None","None","Yellow","Solid","Medium Grey Air Supply Amulet"
1555,"The (Fat) Koltso","The Sink","Drifter","None","Free Fringe","Headforge","None","The Void","Phase 2","None","Smocker","Simple Regulator","None","Yellow","Cap Flag","Light Grey Milo Charm"
1556,"Trunker","Little Huffy","Drifter","None","Orbital Miners Guild","Good King Maude","None","The Void","Phase 2","Yes","Smocker","Multiband Regulator","None","Blue","Cowl","Medium Grey Sanity Amulet"
1557,"Prongseat","None","Drifter","None","Grid Gang","Backstab Squeezebox","None","The Void","Phase 2","None","Smocker","None","None","Green","Sacred Passage","Light Grey Decontamination Amulet"
1558,"Hull Breacher","None","Drifter","None","Engineers Guild","Headforge","None","The Void","Phase 2","None","Vayon Worksuit","Utility Vest","None","Black","Solid","None"
1559,"Wedge","Bobpack","Drifter","None","Venonauts","The Scaper","None","The Void","Phase 2","None","Smocker","None","None","Yellow","Cowl","Medium Grey Sanity Amulet"
1560,"Thruster","The Sink","Drifter","None","Slash Patcher","Backstab Squeezebox","None","The Void","Phase 2","None","Kreegal Cloak","Encased Regulator","None","Yellow","Solid","Light Grey Milo Charm"
1561,"The (Fat) Koltso","Caddypack","Drifter","None","Cathedral","The Spyhopper","None","The Void","Phase 2","Yes","Deverin Jacket","Fine Tool Harness","None","Green","Solid","None"
1562,"The Shriek","Little Huffy","Drifter","None","Survivalist Guild","Good King Maude","None","The Void","Phase 2","Yes","Smocker","Simple Regulator","None","Yellow","Sacred Passage","Medium Grey Air Supply Amulet"
1563,"Everdull Snippies","Fancypack","Drifter","None","Orbital Miners Guild","BC Shiner","Leergear","The Void","Phase 2","None","Smocker","Encased Regulator","None","Gray","Chords","None"
1564,"Hull Breacher","Caddypack","Drifter","None","Engineers Guild","Hangtooth","None","The Void","Phase 2","Yes","Kreegal Cloak","Heavy Duty Regulator","None","Black","Solid","None"
1565,"Thruster","None","Drifter","None","House of Ourbous","The Stalker","None","The Void","Phase 2","None","Vayon Worksuit","Utility Vest","None","Black","Solid","None"
1566,"Death Beam","Caddypack","Drifter","None","Roving Terror","The Pillowcase","None","The Void","Phase 2","Yes","Smocker","Heavy Duty Regulator","None","Red","Cap Flag","Yellow Drippy Charm"
1567,"The (Fat) Koltso","Bobpack","Drifter","None","Mesmegraph","Headforge","None","The Void","Phase 2","None","Kreegal Cloak","Heavy Duty Regulator","None","Gray","Solid","Yellow Drippy Charm"
1568,"The (Fat) Koltso","Little Huffy","Drifter","None","House of Ourbous","Boxhead","None","The Void","Phase 2","Yes","Smocker","Simple Regulator","None","Gray","Solid","None"
1569,"Death Beam","Fancypack","Drifter","None","Venonauts","The Pillowcase","None","The Void","Phase 2","None","Smocker","None","None","Yellow","Cowl","None"
1570,"The (Fat) Koltso","The Sink","Drifter","None","Longhaulers","Headforge","None","The Void","Phase 2","None","Smocker","Simple Regulator","None","Yellow","Cap Flag","None"
