id,"Headgear","Location","Backpack","Phase","Class","Headgear Accessory","Suit Accessory","Accessory","Suit Pattern","Suit Accessories","Suit","Suit Color","Graphic","Scrawls","Totem"
1510,"Backstab Squeezebox","The Void","Little Huffy","Phase 2","Drifter","None","None","Cove Carver","Cap Flag","None","Smocker","Green","Dark Ether House","Yes","White Air Supply Amulet"
1511,"The Scaper","The Void","None","Phase 2","Drifter","None","None","The (Fat) Koltso","Solid","Utility Vest","Vayon Worksuit","Black","Combustible","None","Dark Grey Milo Charm"
1512,"Hangtooth","The Void","None","Phase 2","Drifter","None","None","Hull Breacher","Solid","None","Prongshell","Green","Union of Merchants","None","None"
1513,"Puffy Face","The Void","Fancypack","Phase 2","Drifter","None","None","Wedge","Solid","Encased Regulator","Vayon Worksuit","Gray","Subsurface Miners Guild","None","None"
1514,"Kipper","The Void","The Sink","Phase 2","Drifter","None","None","Cove Carver","Solid","Encased Regulator","Deverin Jacket","Red","Dugall Freight","None","None"
1515,"Backstab Squeezebox","The Void","Little Huffy","Phase 2","Drifter","None","None","Steady Hammer","Cowl","None","Smocker","Yellow","Grid Gang","Yes","None"
1516,"Trailmaker","The Void","Little Huffy","Phase 2","Drifter","None","None","The Nozzle","Cap Flag","Heavy Duty Regulator","Smocker","Green","House of Ourbous","Yes","White Air Supply Amulet"
1517,"The Scaper","The Void","Fancypack","Phase 2","Drifter","None","None","Ball Claw","Cap Flag","Heavy Duty Regulator","Smocker","Red-Yellow","Grid Gang","None","None"
1518,"Boxhead","The Void","The Sink","Phase 2","Drifter","None","None","Hull Breacher","Solid","Multiband Regulator","Deverin Jacket","Yellow","Mercenary","None","Light Grey Suit Integrity Amulet"
1519,"Backstab Squeezebox","The Void","Fancypack","Phase 2","Drifter","None","None","The Spunker","Sacred Passage","Simple Regulator","Smocker","Green","Survivalist Guild","None","None"
1520,"The Stalker","The Void","None","Phase 2","Drifter","None","None","The Nozzle","Chords","None","Smocker","Black","Deepsatch","None","Dark Grey Decontamination Amulet"
1521,"Kipper","The Void","Caddypack","Phase 2","Drifter","None","None","The (Fat) Koltso","Cap Flag","None","Smocker","Red","The Path","Yes","Medium Grey Drippy Charm"
1522,"The Stalker","The Void","Caddypack","Phase 2","Drifter","None","None","Everdull Snippies","Solid","Heavy Duty Regulator","Deverin Jacket","Yellow","Freebooters Flag","Yes","None"
1523,"Kipper","The Void","Little Huffy","Phase 2","Drifter","Driftcore Shades","None","Chainflicker","Solid","Multiband Regulator","Kreegal Cloak","Red","Longhaulers","Yes","None"
1524,"Good King Maude","The Void","Little Huffy","Phase 2","Drifter","None","None","Steady Hammer","Solid","Simple Regulator","Deverin Jacket","Gray","Venonauts","Yes","Yellow Air Supply Amulet"
1525,"Boxhead","The Void","Bobpack","Phase 2","Drifter","None","None","The Shriek","Cap Flag","Heavy Duty Regulator","Smocker","Red-Yellow","Dugall Freight","None","Light Grey Milo Charm"
1526,"Headforge","The Void","Little Huffy","Phase 2","Drifter","None","None","Hull Breacher","Cowl","None","Smocker","Yellow","Engineers Guild","Yes","Yellow Air Supply Amulet"
1527,"Headforge","The Void","Little Huffy","Phase 2","Drifter","None","None","The Shriek","Cowl","Heavy Duty Regulator","Smocker","Yellow","Margul","Yes","Light Grey Milo Charm"
1528,"Good King Maude","The Void","Fancypack","Phase 2","Drifter","None","None","Cove Carver","Cap Flag","Simple Regulator","Smocker","Yellow","The Bench","None","Light Grey Suit Integrity Amulet"
1529,"Good King Maude","The Void","None","Phase 2","Drifter","None","None","The Nozzle","Solid","None","Prongshell","Yellow","Cross of the Round Power","None","Light Grey Suit Integrity Amulet"
1530,"The Spyhopper","The Void","The Sink","Phase 2","Drifter","None","None","Faulk's Icepick","Solid","Heavy Duty Regulator","Vayon Worksuit","Black","Cross of the Round Power","None","None"
1531,"Hangtooth","The Void","Fancypack","Phase 2","Drifter","None","None","Steady Hammer","Solid","Encased Regulator","Kreegal Cloak","Yellow","Saddler Racing League","None","White Air Supply Amulet"
