id,"Accessory","Class","Headgear Accessory","Suit Accessory","Scrawls","Phase","Location","Suit Color","Suit Pattern","Suit","Headgear","Totem","Backpack","Suit Accessories","Graphic"
1510,"Cove Carver","Drifter","None","None","Yes","Phase 2","The Void","Green","Cap Flag","Smocker","Backstab Squeezebox","White Air Supply Amulet","Little Huffy","None","Dark Ether House"
1511,"The (Fat) Koltso","Drifter","None","None","None","Phase 2","The Void","Black","Solid","Vayon Worksuit","The Scaper","Dark Grey Milo Charm","None","Utility Vest","Combustible"
1512,"Hull Breacher","Drifter","None","None","None","Phase 2","The Void","Green","Solid","Prongshell","Hangtooth","None","None","None","Union of Merchants"
1513,"Wedge","Drifter","None","None","None","Phase 2","The Void","Gray","Solid","Vayon Worksuit","Puffy Face","None","Fancypack","Encased Regulator","Subsurface Miners Guild"
1514,"Cove Carver","Drifter","None","None","None","Phase 2","The Void","Red","Solid","Deverin Jacket","Kipper","None","The Sink","Encased Regulator","Dugall Freight"
1515,"Steady Hammer","Drifter","None","None","Yes","Phase 2","The Void","Yellow","Cowl","Smocker","Backstab Squeezebox","None","Little Huffy","None","Grid Gang"
1516,"The Nozzle","Drifter","None","None","Yes","Phase 2","The Void","Green","Cap Flag","Smocker","Trailmaker","White Air Supply Amulet","Little Huffy","Heavy Duty Regulator","House of Ourbous"
1517,"Ball Claw","Drifter","None","None","None","Phase 2","The Void","Red-Yellow","Cap Flag","Smocker","The Scaper","None","Fancypack","Heavy Duty Regulator","Grid Gang"
1518,"Hull Breacher","Drifter","None","None","None","Phase 2","The Void","Yellow","Solid","Deverin Jacket","Boxhead","Light Grey Suit Integrity Amulet","The Sink","Multiband Regulator","Mercenary"
1519,"The Spunker","Drifter","None","None","None","Phase 2","The Void","Green","Sacred Passage","Smocker","Backstab Squeezebox","None","Fancypack","Simple Regulator","Survivalist Guild"
1520,"The Nozzle","Drifter","None","None","None","Phase 2","The Void","Black","Chords","Smocker","The Stalker","Dark Grey Decontamination Amulet","None","None","Deepsatch"
1521,"The (Fat) Koltso","Drifter","None","None","Yes","Phase 2","The Void","Red","Cap Flag","Smocker","Kipper","Medium Grey Drippy Charm","Caddypack","None","The Path"
1522,"Everdull Snippies","Drifter","None","None","Yes","Phase 2","The Void","Yellow","Solid","Deverin Jacket","The Stalker","None","Caddypack","Heavy Duty Regulator","Freebooters Flag"
1523,"Chainflicker","Drifter","Driftcore Shades","None","Yes","Phase 2","The Void","Red","Solid","Kreegal Cloak","Kipper","None","Little Huffy","Multiband Regulator","Longhaulers"
1524,"Steady Hammer","Drifter","None","None","Yes","Phase 2","The Void","Gray","Solid","Deverin Jacket","Good King Maude","Yellow Air Supply Amulet","Little Huffy","Simple Regulator","Venonauts"
1525,"The Shriek","Drifter","None","None","None","Phase 2","The Void","Red-Yellow","Cap Flag","Smocker","Boxhead","Light Grey Milo Charm","Bobpack","Heavy Duty Regulator","Dugall Freight"
1526,"Hull Breacher","Drifter","None","None","Yes","Phase 2","The Void","Yellow","Cowl","Smocker","Headforge","Yellow Air Supply Amulet","Little Huffy","None","Engineers Guild"
1527,"The Shriek","Drifter","None","None","Yes","Phase 2","The Void","Yellow","Cowl","Smocker","Headforge","Light Grey Milo Charm","Little Huffy","Heavy Duty Regulator","Margul"
1528,"Cove Carver","Drifter","None","None","None","Phase 2","The Void","Yellow","Cap Flag","Smocker","Good King Maude","Light Grey Suit Integrity Amulet","Fancypack","Simple Regulator","The Bench"
1529,"The Nozzle","Drifter","None","None","None","Phase 2","The Void","Yellow","Solid","Prongshell","Good King Maude","Light Grey Suit Integrity Amulet","None","None","Cross of the Round Power"
1530,"Faulk's Icepick","Drifter","None","None","None","Phase 2","The Void","Black","Solid","Vayon Worksuit","The Spyhopper","None","The Sink","Heavy Duty Regulator","Cross of the Round Power"
1531,"Steady Hammer","Drifter","None","None","None","Phase 2","The Void","Yellow","Solid","Kreegal Cloak","Hangtooth","White Air Supply Amulet","Fancypack","Encased Regulator","Saddler Racing League"
1532,"Hull Breacher","Drifter","None","None","None","Phase 2","The Void","Black","Solid","Smocker","Hangtooth","Dark Grey Decontamination Amulet","Bobpack","Encased Regulator","Orbital Miners Guild"
1533,"The Shriek","Drifter","None","None","None","Phase 2","The Void","Yellow","Foss","Vayon Worksuit","The Spyhopper","None","None","Utility Vest","The Bench"
1534,"The Nozzle","Drifter","None","None","None","Phase 2","The Void","Gray","Arvis Edition","Deverin Jacket","Good King Maude","Light Grey Suit Integrity Amulet","Bobpack","Heavy Duty Regulator","Saddler Racing League"
1535,"Everdull Snippies","Drifter","None","None","Yes","Phase 2","The Void","Green","Cap Flag","Smocker","The Spyhopper","White Suit Integrity Amulet","Caddypack","None","The Bench"
1536,"Trunker","Drifter","None","None","None","Phase 2","The Void","White","Solid","Prongshell","Rustler's Braincage","Medium Grey Sanity Amulet","None","None","Longhaulers"
1537,"The (Fat) Koltso","Drifter","Driftcore Shades","None","Yes","Phase 2","The Void","Red","Solid","Kreegal Cloak","Kipper","Light Grey Decontamination Amulet","Caddypack","Heavy Duty Regulator","Topography Society"
1538,"The (Fat) Koltso","Drifter","None","None","Yes","Phase 2","The Void","Red","Sacred Passage","Smocker","Hangtooth","Dark Grey Milo Charm","Little Huffy","Encased Regulator","House of Ourbous"
1539,"Wedge","Drifter","None","None","None","Phase 2","The Void","Black","Solid","Kreegal Cloak","The Spyhopper","None","Fancypack","Heavy Duty Regulator","High Tox"
1540,"Hole Puncher","Drifter","None","None","None","Phase 2","The Void","Gray","Solid","Vayon Worksuit","Rustler's Braincage","White Drippy Charm","Caddypack","Multiband Regulator","Engineers Guild"
1541,"Hull Breacher","Drifter","None","None","None","Phase 2","The Void","Red","Solid","Prongshell","Boxhead","None","None","None","The Path"
1542,"The Nozzle","Drifter","None","None","None","Phase 2","The Void","Gray","Solid","Vayon Worksuit","Good King Maude","White Air Supply Amulet","Fancypack","Multiband Regulator","Engineers Guild"
1543,"Hull Breacher","Drifter","None","None","None","Phase 2","The Void","Red","Cowl","Smocker","Rustler's Braincage","Light Grey Milo Charm","The Sink","Simple Regulator","The Path"
1544,"Cove Carver","Drifter","None","None","None","Phase 2","The Void","White","Solid","Prongshell","Hardhat","None","None","None","Beshtala Expatriation Roster"
1545,"The (Fat) Koltso","Drifter","None","None","None","Phase 2","The Void","Red","Cap Flag","Smocker","Hangtooth","White Air Supply Amulet","Fancypack","Heavy Duty Regulator","Orbital Miners Guild"
1546,"The (Fat) Koltso","Drifter","None","None","None","Phase 2","The Void","Green","Solid","Prongshell","Good King Maude","Medium Grey Drippy Charm","None","None","Survivalist Guild"
1547,"Faulk's Icepick","Drifter","None","None","None","Phase 2","The Void","Gray","Solid","Kreegal Cloak","Puffy Face","Red Sanity Amulet","The Sink","Heavy Duty Regulator","The Forsaken"
1548,"Cove Carver","Drifter","None","None","Yes","Phase 2","The Void","White","Arvis Edition","Deverin Jacket","The Pillowcase","None","Caddypack","Heavy Duty Regulator","The Pyramid Order"
1549,"Trunker","Drifter","None","None","None","Phase 2","The Void","White","Foss","Vayon Worksuit","Good King Maude","None","None","None","League of Channel"
1550,"Death Beam","Drifter","None","None","None","Phase 2","The Void","White","Cap Flag","Smocker","Kipper","Light Grey Suit Integrity Amulet","Fancypack","None","Cross of the Round Power"
1551,"The (Fat) Koltso","Drifter","None","None","Yes","Phase 2","The Void","Blue","Cowl","Smocker","Good King Maude","Yellow Air Supply Amulet","Little Huffy","Simple Regulator","Saddler Racing League"
1552,"Hull Breacher","Drifter","None","None","None","Phase 2","The Void","Yellow","Foss","Vayon Worksuit","Good King Maude","None","None","Utility Vest","Union of Merchants"
1553,"Ball Claw","Drifter","Hypervisor","None","Yes","Phase 2","The Void","White","Solid","Deverin Jacket","BC Shiner","Light Grey Decontamination Amulet","Caddypack","Simple Regulator","Slash Patcher"
1554,"Hole Puncher","Drifter","None","None","None","Phase 2","The Void","Yellow","Solid","Prongshell","Rustler's Braincage","Medium Grey Air Supply Amulet","None","None","The Path"
1555,"The (Fat) Koltso","Drifter","None","None","None","Phase 2","The Void","Yellow","Cap Flag","Smocker","Headforge","Light Grey Milo Charm","The Sink","Simple Regulator","Free Fringe"
1556,"Trunker","Drifter","None","None","Yes","Phase 2","The Void","Blue","Cowl","Smocker","Good King Maude","Medium Grey Sanity Amulet","Little Huffy","Multiband Regulator","Orbital Miners Guild"
1557,"Prongseat","Drifter","None","None","None","Phase 2","The Void","Green","Sacred Passage","Smocker","Backstab Squeezebox","Light Grey Decontamination Amulet","None","None","Grid Gang"
1558,"Hull Breacher","Drifter","None","None","None","Phase 2","The Void","Black","Solid","Vayon Worksuit","Headforge","None","None","Utility Vest","Engineers Guild"
1559,"Wedge","Drifter","None","None","None","Phase 2","The Void","Yellow","Cowl","Smocker","The Scaper","Medium Grey Sanity Amulet","Bobpack","None","Venonauts"
1560,"Thruster","Drifter","None","None","None","Phase 2","The Void","Yellow","Solid","Kreegal Cloak","Backstab Squeezebox","Light Grey Milo Charm","The Sink","Encased Regulator","Slash Patcher"
1561,"The (Fat) Koltso","Drifter","None","None","Yes","Phase 2","The Void","Green","Solid","Deverin Jacket","The Spyhopper","None","Caddypack","Fine Tool Harness","Cathedral"
1562,"The Shriek","Drifter","None","None","Yes","Phase 2","The Void","Yellow","Sacred Passage","Smocker","Good King Maude","Medium Grey Air Supply Amulet","Little Huffy","Simple Regulator","Survivalist Guild"
1563,"Everdull Snippies","Drifter","Leergear","None","None","Phase 2","The Void","Gray","Chords","Smocker","BC Shiner","None","Fancypack","Encased Regulator","Orbital Miners Guild"
1564,"Hull Breacher","Drifter","None","None","Yes","Phase 2","The Void","Black","Solid","Kreegal Cloak","Hangtooth","None","Caddypack","Heavy Duty Regulator","Engineers Guild"
1565,"Thruster","Drifter","None","None","None","Phase 2","The Void","Black","Solid","Vayon Worksuit","The Stalker","None","None","Utility Vest","House of Ourbous"
1566,"Death Beam","Drifter","None","None","Yes","Phase 2","The Void","Red","Cap Flag","Smocker","The Pillowcase","Yellow Drippy Charm","Caddypack","Heavy Duty Regulator","Roving Terror"
1567,"The (Fat) Koltso","Drifter","None","None","None","Phase 2","The Void","Gray","Solid","Kreegal Cloak","Headforge","Yellow Drippy Charm","Bobpack","Heavy Duty Regulator","Mesmegraph"
1568,"The (Fat) Koltso","Drifter","None","None","Yes","Phase 2","The Void","Gray","Solid","Smocker","Boxhead","None","Little Huffy","Simple Regulator","House of Ourbous"
1569,"Death Beam","Drifter","None","None","None","Phase 2","The Void","Yellow","Cowl","Smocker","The Pillowcase","None","Fancypack","None","Venonauts"
1570,"The (Fat) Koltso","Drifter","None","None","None","Phase 2","The Void","Yellow","Cap Flag","Smocker","Headforge","None","The Sink","Simple Regulator","Longhaulers"
